method,robust_std_all,robust_std_non_plume,p95_abs_non_plume,profile_rstd_detected_broad_slope_1p257,profile_rstd_ct_meta_slope_1p267,profile_rstd_detected_thin_slope_0p979,profile_rstd_at_meta_slope_0p977,plume_mean,plume_p95,plume_max,count_above_baseline_threshold,non_plume_count_above_baseline_threshold,balanced_score
qa_guided_existing_thin_then_ct_dwt,0.02458352760389657,0.02431944263228159,0.05059315862144591,0.0018240645335173742,0.0019078871099918095,0.0026171549011956676,0.0027446063093980455,0.1353273774246627,0.19162914418084326,2.5040104053041468,202,4,0.02884517166086536
comparison_existing_thin_then_detected_broad_dwt,0.024652644870469673,0.02433054921618366,0.050630767976828125,0.0021031424170058336,0.0017905455297429257,0.0030088388625200053,0.0028175705358659564,0.13519981900582945,0.1907830234714864,2.5035589078678155,202,4,0.02924098441014272
previous_takaku_recommended,0.026482948659032505,0.026123920551803386,0.054597334687379095,0.0030615769129708824,0.0028416132608374118,0.003015214231840703,0.003101953907035383,0.13652168230257833,0.19250590130474163,2.5080241409058024,215,11,0.03214742210583946
existing_median_thin_then_broad,0.02797800414962589,0.02775850182114547,0.058035767614043006,0.004871692790235113,0.004879184344813693,0.0026993063494173243,0.003061860959460164,0.08953586976919095,0.18569194735192188,1.9905160368510788,164,30,0.035477519426646474
existing_thin_only,0.02876066313289737,0.028452768334448323,0.05900540268597369,0.007030373646343543,0.005849982014489535,0.002786985879263866,0.00314468800596849,0.13918003524020844,0.20296162935067394,2.519355177183552,247,32,0.03794105205799598
raw_mf,0.03126302763434419,0.03089274094685295,0.06294865241009762,0.012408156680919413,0.012671880872067349,0.009951460684160075,0.009349267752630586,0.17607035492606962,0.24781183995633105,2.51722255272562,408,0,0.05311697081577982
