band,wavelength_nm,count,pca_slope_row_per_col_abs,pca_angle_deg,binned_median_fit_slope,row_min,row_max,col_min,col_max
94,1338.165,4891,0.9774760745163124,-135.6525844127113,0.9777895002018641,718,1855,30,1193
99,1400.615,4889,0.9774431691849795,-135.6535485685237,0.9778996335814665,631,1768,99,1262
97,1375.635,3261,0.977356638292035,-135.6560841529143,0.9772668992009709,215,1351,427,1590
98,1388.125,3255,0.9773556986414176,-135.65611168837052,0.9774064981585059,215,1351,427,1590
185,2474.755,3254,0.9773902752926031,-135.65509847362972,0.977275788918809,345,1481,325,1488
157,2125.035,3237,0.9773556945566594,-135.65611180807005,0.9775142239395224,217,1354,426,1589
95,1350.655,1630,0.977492780323945,-135.65209492965664,0.9776449469535906,720,1855,30,1191
