operation,slope,chosen_rotation_deg,angle_score_pos,angle_score_neg,level,filtered,coeff_shape,horizontal_robust_std,vertical_robust_std,raw_threshold,applied_threshold,changed_fraction
qa_guided_existing_thin_then_ct_dwt:ct_meta_dwt,1.266720330853362,51.711017347878645,2.1434612345690383,1.6023598826424206,1,0,256x256,0.01652902061446084,0.016230691766014604,0.0,0.0,0.0
qa_guided_existing_thin_then_ct_dwt:ct_meta_dwt,1.266720330853362,51.711017347878645,2.1434612345690383,1.6023598826424206,2,1,128x128,0.032949983546509555,0.03229502135673045,0.05413841979750292,0.05684534078737807,1.0
qa_guided_existing_thin_then_ct_dwt:ct_meta_dwt,1.266720330853362,51.711017347878645,2.1434612345690383,1.6023598826424206,3,1,64x64,0.05582697487625634,0.052994709695830935,0.09176908543641438,0.0963575397082351,1.0
qa_guided_existing_thin_then_ct_dwt:ct_meta_dwt,1.266720330853362,51.711017347878645,2.1434612345690383,1.6023598826424206,4,1,32x32,0.10207621664216415,0.09017134679336729,0.16021095368951058,0.16822150137398612,1.0
qa_guided_existing_thin_then_ct_dwt:ct_meta_dwt,1.266720330853362,51.711017347878645,2.1434612345690383,1.6023598826424206,5,1,16x16,0.10344869254415666,0.12355843263653622,0.22241745138255462,0.23353832395168236,1.0
qa_guided_existing_thin_then_ct_dwt:ct_meta_dwt,1.266720330853362,51.711017347878645,2.1434612345690383,1.6023598826424206,6,0,8x8,0.1265348497746751,0.10058825601889401,0.0,0.0,0.0
comparison_existing_thin_then_detected_broad_dwt:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,1,0,256x256,0.016433403351412513,0.01641691014822164,0.0,0.0,0.0
comparison_existing_thin_then_detected_broad_dwt:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,2,1,128x128,0.03331741923258729,0.03259657481101559,0.055567537448878074,0.05834591432132198,1.0
comparison_existing_thin_then_detected_broad_dwt:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,3,1,64x64,0.05400529328548444,0.0527575572056291,0.08903645902578908,0.09348828197707854,1.0
comparison_existing_thin_then_detected_broad_dwt:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,4,1,32x32,0.103501579432855,0.08942098013846664,0.16423169977757518,0.17244328476645396,1.0
comparison_existing_thin_then_detected_broad_dwt:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,5,1,16x16,0.10224256625208057,0.11197217560445988,0.217404208569646,0.2282744189981283,1.0
comparison_existing_thin_then_detected_broad_dwt:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,6,0,8x8,0.12596864657446805,0.1029786394566193,0.0,0.0,0.0
