method,robust_std_all,robust_std_non_plume,p95_abs_non_plume,broad_profile_robust_std,thin_profile_robust_std,plume_mean,plume_p95,plume_max,count_above_baseline_threshold,non_plume_count_above_baseline_threshold
raw_mf,0.03126302763434419,0.03089274094685295,0.06294865241009762,0.012408156680919413,0.009951460684160075,0.17607035492606962,0.24781183995633105,2.51722255272562,408,0
existing_median_thin_then_broad,0.02797800414962589,0.02775850182114547,0.058035767614043006,0.004871692790235113,0.0026993063494173243,0.08953586976919095,0.18569194735192188,1.9905160368510788,164,30
existing_thin_only,0.02876066313289737,0.028452768334448323,0.05900540268597369,0.007030373646343543,0.002786985879263866,0.13918003524020844,0.20296162935067394,2.519355177183552,247,32
takaku_broad_only,0.028104827795497365,0.027765109424927176,0.057619371027023955,0.00328477455491319,0.006270291029892852,0.16782771013997957,0.23805849979799887,2.5007991160560987,352,6
dwt_broad_then_median_thin_primary,0.02687921839566939,0.026642988302845755,0.05514144399740332,0.0022106314716519517,0.0018719165349777907,0.10469222223795406,0.18525352427306183,2.496916912148571,164,11
dwt_broad_then_median_thin_primary_orthogonal,0.02656310200077216,0.02632593426899918,0.054530751014194995,0.0026316528228968092,0.0021187810660535816,0.10566286208739023,0.18823095267567072,2.4977067487130453,159,11
hybrid_existing_thin_then_takaku_broad,0.026482948659032505,0.026123920551803386,0.054597334687379095,0.0030615769129708824,0.003015214231840703,0.13652168230257833,0.19250590130474163,2.5080241409058024,215,11
takaku_thin_only,0.02737361087710807,0.027050897282663754,0.05628613963923182,0.012151581613332149,0.008453695457218725,0.17418311725855828,0.2525011690932423,2.5046425140715938,376,7
takaku_thin_then_broad,0.02606102059725,0.025758802796526346,0.053596896408604724,0.010759268149188426,0.007650593438531891,0.1725503723982036,0.24799376823625557,2.4989232290940406,369,12
