direction,method,profile_robust_std,raw_reduction_pct
broad_1.257,raw,0.012408156680919413,0.0
broad_1.257,MEDIAN only,0.006666754322215721,46.27119487886954
broad_1.257,DWT only,0.00328477455491319,73.52729628274007
thin_0.979,raw,0.009951460684160075,0.0
thin_0.979,MEDIAN only,0.0027253582536600407,72.61348519420828
thin_0.979,DWT only,0.008453695457218725,15.05070737329416
