operation,slope,chosen_rotation_deg,angle_score_pos,angle_score_neg,level,filtered,coeff_shape,horizontal_robust_std,vertical_robust_std,raw_threshold,applied_threshold,changed_fraction
takaku_broad_only:broad,1.257172298918948,51.49999999999985,2.110916730749911,2.038716202988392,1,0,256x256,0.0166828822212784,0.016607531395213353,0.0,0.0,0.0
takaku_broad_only:broad,1.257172298918948,51.49999999999985,2.110916730749911,2.038716202988392,2,0,128x128,0.03400190128397229,0.034264982275451536,0.0,0.0,0.0
takaku_broad_only:broad,1.257172298918948,51.49999999999985,2.110916730749911,2.038716202988392,3,1,64x64,0.058344117272459466,0.056318631646704594,0.09464062937968386,0.07098047203476289,1.0
takaku_broad_only:broad,1.257172298918948,51.49999999999985,2.110916730749911,2.038716202988392,4,1,32x32,0.11024158273893747,0.0993861183328031,0.1935940676849028,0.1451955507636771,1.0
takaku_broad_only:broad,1.257172298918948,51.49999999999985,2.110916730749911,2.038716202988392,5,1,16x16,0.14497548019628095,0.15335280066677365,0.2088567305892951,0.15664254794197133,1.0
takaku_broad_only:broad,1.257172298918948,51.49999999999985,2.110916730749911,2.038716202988392,6,0,8x8,0.18484127066672623,0.19434541632954508,0.0,0.0,0.0
hybrid_existing_thin_then_takaku_broad:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,1,0,256x256,0.016433403351412513,0.01641691014822164,0.0,0.0,0.0
hybrid_existing_thin_then_takaku_broad:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,2,0,128x128,0.03331741923258729,0.03259657481101559,0.0,0.0,0.0
hybrid_existing_thin_then_takaku_broad:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,3,1,64x64,0.05400529328548444,0.0527575572056291,0.08903645902578908,0.06677734426934182,1.0
hybrid_existing_thin_then_takaku_broad:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,4,1,32x32,0.103501579432855,0.08942098013846664,0.16423169977757518,0.12317377483318138,1.0
hybrid_existing_thin_then_takaku_broad:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,5,1,16x16,0.10224256625208057,0.11197217560445988,0.217404208569646,0.1630531564272345,1.0
hybrid_existing_thin_then_takaku_broad:broad,1.257172298918948,51.49999999999985,1.9790004124029372,1.6446338039923865,6,0,8x8,0.12596864657446805,0.1029786394566193,0.0,0.0,0.0
takaku_thin_only:thin,0.9792723507257799,44.39999999999988,1.353223423329649,0.8946837766390141,1,1,256x256,0.01676670306321622,0.01655516640075032,0.029029162572058044,0.015966039414631924,0.999786376953125
takaku_thin_only:thin,0.9792723507257799,44.39999999999988,1.353223423329649,0.8946837766390141,2,1,128x128,0.03371308995362528,0.03421824294898729,0.056818791301346455,0.031250335215740555,1.0
takaku_thin_only:thin,0.9792723507257799,44.39999999999988,1.353223423329649,0.8946837766390141,3,1,64x64,0.05560445079752735,0.05486400082023787,0.0956768605504463,0.05262227330274547,1.0
takaku_thin_only:thin,0.9792723507257799,44.39999999999988,1.353223423329649,0.8946837766390141,4,0,32x32,0.10907813837918465,0.1076496787394058,0.0,0.0,0.0
takaku_thin_only:thin,0.9792723507257799,44.39999999999988,1.353223423329649,0.8946837766390141,5,0,16x16,0.15794153983702625,0.14780980651308478,0.0,0.0,0.0
takaku_thin_only:thin,0.9792723507257799,44.39999999999988,1.353223423329649,0.8946837766390141,6,0,8x8,0.21526327452326,0.2042153504357995,0.0,0.0,0.0
takaku_thin_then_broad:thin,0.9792723507257799,44.39999999999988,1.353223423329649,0.8946837766390141,1,1,256x256,0.01676670306321622,0.01655516640075032,0.029029162572058044,0.015966039414631924,0.999786376953125
takaku_thin_then_broad:thin,0.9792723507257799,44.39999999999988,1.353223423329649,0.8946837766390141,2,1,128x128,0.03371308995362528,0.03421824294898729,0.056818791301346455,0.031250335215740555,1.0
takaku_thin_then_broad:thin,0.9792723507257799,44.39999999999988,1.353223423329649,0.8946837766390141,3,1,64x64,0.05560445079752735,0.05486400082023787,0.0956768605504463,0.05262227330274547,1.0
